	Operation	Group	Group Offset	Ordinal Start	Ordinal End	Terminal End	Default Due	Tags	Op Index	Due Shift		Configs	Value
arith_add_g06_00_o04_05	Addition	6	0	4	5	10	54	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g06_00_o05_06	Addition	6	0	5	6	10	55	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g06_00_o06_07	Addition	6	0	6	7	10	56	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g06_00_o07_08	Addition	6	0	7	8	10	57	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g06_00_o08_09	Addition	6	0	8	9	10	58	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g06_00_o09_10	Addition	6	0	9	10	10	59	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g06_00_o10	Addition	6	0	10		10	60	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g07_00_o01_02	Addition	7	0	1	2	10	61	o01_to_04 o01_to_05	1				
arith_add_g07_00_o02_03	Addition	7	0	2	3	10	62	o01_to_04 o01_to_05	1				
arith_add_g07_00_o03_04	Addition	7	0	3	4	10	63	o01_to_04 o01_to_05	1				
arith_add_g07_00_o04_05	Addition	7	0	4	5	10	64	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g07_00_o05_06	Addition	7	0	5	6	10	65	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g07_00_o06_07	Addition	7	0	6	7	10	66	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g07_00_o07_08	Addition	7	0	7	8	10	67	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g07_00_o08_09	Addition	7	0	8	9	10	68	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g07_00_o09_10	Addition	7	0	9	10	10	69	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g07_00_o10	Addition	7	0	10		10	70	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g08_00_o01_02	Addition	8	0	1	2	10	71	o01_to_04 o01_to_05	1				
arith_add_g08_00_o02_03	Addition	8	0	2	3	10	72	o01_to_04 o01_to_05	1				
arith_add_g08_00_o03_04	Addition	8	0	3	4	10	73	o01_to_04 o01_to_05	1				
arith_add_g08_00_o04_05	Addition	8	0	4	5	10	74	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g08_00_o05_06	Addition	8	0	5	6	10	75	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g08_00_o06_07	Addition	8	0	6	7	10	76	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g08_00_o07_08	Addition	8	0	7	8	10	77	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g08_00_o08_09	Addition	8	0	8	9	10	78	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g08_00_o09_10	Addition	8	0	9	10	10	79	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g08_00_o10	Addition	8	0	10		10	80	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g09_00_o01_02	Addition	9	0	1	2	10	81	o01_to_04 o01_to_05	1				
arith_add_g09_00_o02_03	Addition	9	0	2	3	10	82	o01_to_04 o01_to_05	1				
arith_add_g09_00_o03_04	Addition	9	0	3	4	10	83	o01_to_04 o01_to_05	1				
arith_add_g09_00_o04_05	Addition	9	0	4	5	10	84	o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g09_00_o05_06	Addition	9	0	5	6	10	85	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g09_00_o06_07	Addition	9	0	6	7	10	86	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g09_00_o07_08	Addition	9	0	7	8	10	87	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g09_00_o08_09	Addition	9	0	8	9	10	88	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g09_00_o09_10	Addition	9	0	9	10	10	89	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g09_00_o10	Addition	9	0	10		10	90	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_add_g10_00_o01_02	Addition	10	0	1	2	10	91	o01_to_04 o01_to_05	1				
arith_add_g10_00_o02_03	Addition	10	0	2	3	10	92	o01_to_04 o01_to_05	1				
arith_add_g10_00_o03_04	Addition	10	0	3	4	10	93	o01_to_04 o01_to_05	1				
arith_add_g10_00_o04_05	Addition	10	0	4	5	10	94	o01_to_04 o01_to_05 o04_to_07	1				
