	Operation	Group	Group Offset	Ordinal Start	Ordinal End	Terminal End	Default Due	Tags	Op Index	Due Shift		Configs	Value
arith_add_g07_00_o01	Addition	7	0	1	1	10	855	single o01_to_04 o01_to_05	1				
arith_add_g07_00_o02	Addition	7	0	2	2	10	856	single o01_to_04 o01_to_05	1				
arith_add_g07_00_o03	Addition	7	0	3	3	10	857	single o01_to_04 o01_to_05	1				
arith_add_g07_00_o04	Addition	7	0	4	4	10	858	single o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g07_00_o05	Addition	7	0	5	5	10	859	single o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g07_00_o06	Addition	7	0	6	6	10	860	single o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g07_00_o07	Addition	7	0	7	7	10	861	single o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g07_00_o08	Addition	7	0	8	8	10	862	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g07_00_o09	Addition	7	0	9	9	10	863	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
													
arith_add_g08_00_o01	Addition	8	0	1	1	10	864	single o01_to_04 o01_to_05	1				
arith_add_g08_00_o02	Addition	8	0	2	2	10	865	single o01_to_04 o01_to_05	1				
arith_add_g08_00_o03	Addition	8	0	3	3	10	866	single o01_to_04 o01_to_05	1				
arith_add_g08_00_o04	Addition	8	0	4	4	10	867	single o01_to_04 o01_to_05 o04_to_07	1				
arith_add_g08_00_o05	Addition	8	0	5	5	10	868	single o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g08_00_o06	Addition	8	0	6	6	10	869	single o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g08_00_o07	Addition	8	0	7	7	10	870	single o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g08_00_o08	Addition	8	0	8	8	10	871	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g08_00_o09	Addition	8	0	9	9	10	872	single o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
													
arith_add_g09_00_o01	Addition	9	0	1	1	10	873	single o01_to_04 o01_to_05	1				
arith_add_g09_00_o02	Addition	9	0	2	2	10	874	single o01_to_04 o01_to_05	1				
